Item, Buff_Price
Souvenir M4A1-S | VariCamo (Minimal Wear), 20.36
Souvenir AK-47 | Steel Delta (Field-Tested), 4.02
M4A1-S | Hyper Beast (Battle-Scarred), 15.09
StatTrak™ AK-47 | Neon Revolution (Minimal Wear), 73.55
AWP | Corticera (Factory New), 43.02
AK-47 | Jet Set (Battle-Scarred), 288.15
M4A1-S | Guardian (Minimal Wear), 19.48
M4A1-S | Dark Water (Minimal Wear), 78.21
AK-47 | Orbit Mk01 (Well-Worn), 18.25
M4A1-S | Chantico's Fire (Minimal Wear), 66.81
AWP | Worm God (Well-Worn), 1.62
StatTrak™ AWP | Fever Dream (Well-Worn), 18.39
StatTrak™ AK-47 | Inheritance (Battle-Scarred), 106.26
Souvenir AK-47 | Black Laminate (Minimal Wear), 49.46
AK-47 | Safety Net (Minimal Wear), 3.63
StatTrak™ M4A1-S | Decimator (Battle-Scarred), 23.01
Souvenir M4A1-S | Control Panel (Well-Worn), 40.34
M4A1-S | Hyper Beast (Field-Tested), 18.93
AK-47 | Jungle Spray (Battle-Scarred), 4.48
AK-47 | Safety Net (Field-Tested), 2.84
AK-47 | Slate (Field-Tested), 3.57
AK-47 | Fire Serpent (Factory New), 2154.15
AK-47 | Jet Set (Well-Worn), 259.27
AWP | Phobos (Field-Tested), 1.3
StatTrak™ AK-47 | Case Hardened (Battle-Scarred), 299.82
AK-47 | Crossfade (Field-Tested), 1.88
StatTrak™ M4A1-S | Black Lotus (Minimal Wear), 30.46
M4A1-S | Vaporwave (Field-Tested), 120.13
AK-47 | Asiimov (Factory New), 177.01
AK-47 | X-Ray (Battle-Scarred), 321.21
StatTrak™ AK-47 | Fire Serpent (Well-Worn), 1481.38
AK-47 | First Class (Battle-Scarred), 73.46
StatTrak™ AK-47 | Aquamarine Revenge (Battle-Scarred), 57.48
AWP | Silk Tiger (Minimal Wear), 196.07
AK-47 | Predator (Factory New), 53.29
AWP | Desert Hydra (Factory New), 2242.03
StatTrak™ AWP | Graphite (Factory New), 348.53
StatTrak™ M4A1-S | Mecha Industries (Factory New), 154.37
AK-47 | Black Laminate (Field-Tested), 31.49
StatTrak™ M4A1-S | Player Two (Factory New), 191.76
StatTrak™ AK-47 | Bloodsport (Minimal Wear), 253.85
AWP | Wildfire (Minimal Wear), 83.91
StatTrak™ AK-47 | Point Disarray (Minimal Wear), 46.48
StatTrak™ M4A1-S | Cyrex (Minimal Wear), 91.51
M4A1-S | Leaded Glass (Field-Tested), 4.51
Souvenir AK-47 | Safety Net (Minimal Wear), 21.6
AWP | Duality (Minimal Wear), 5.24
Souvenir M4A1-S | Control Panel (Minimal Wear), 86.99
M4A1-S | Hyper Beast (Minimal Wear), 46.91
AK-47 | Predator (Field-Tested), 17.56
StatTrak™ AK-47 | Rat Rod (Minimal Wear), 15.44
M4A1-S | Basilisk (Field-Tested), 5.48
M4A1-S | Atomic Alloy (Field-Tested), 38.76
Souvenir AK-47 | Safari Mesh (Battle-Scarred), 9.59
StatTrak™ AK-47 | Phantom Disruptor (Battle-Scarred), 12.07
Souvenir M4A1-S | Imminent Danger (Battle-Scarred), 516.75
StatTrak™ AWP | Worm God (Field-Tested), 4.32
StatTrak™ AK-47 | Uncharted (Minimal Wear), 2.6
StatTrak™ AK-47 | Head Shot (Minimal Wear), 40.81
AK-47 | The Empress (Field-Tested), 32.52
Souvenir AWP | Desert Hydra (Field-Tested), 1474.79
StatTrak™ AK-47 | Jaguar (Minimal Wear), 201.36
Souvenir AWP | Dragon Lore (Minimal Wear), 205823.43
AWP | Duality (Well-Worn), 2.58
M4A1-S | Atomic Alloy (Factory New), 82.81
AK-47 | Panthera onca (Well-Worn), 175.43
AWP | Lightning Strike (Minimal Wear), 575.62
StatTrak™ AWP | Hyper Beast (Battle-Scarred), 56.94
StatTrak™ AWP | Oni Taiji (Battle-Scarred), 0
StatTrak™ M4A1-S | Printstream (Field-Tested), 272.65
AK-47 | The Empress (Minimal Wear), 56.12
M4A1-S | Master Piece (Factory New), 333.43
AK-47 | Fuel Injector (Factory New), 373.16
AK-47 | X-Ray (Minimal Wear), 990.7
StatTrak™ AWP | Electric Hive (Field-Tested), 62.77
AK-47 | Elite Build (Field-Tested), 1.37
AK-47 | Neon Revolution (Battle-Scarred), 19.07
StatTrak™ M4A1-S | Chantico's Fire (Battle-Scarred), 45.54
AWP | BOOM (Minimal Wear), 132.76
Souvenir AWP | Dragon Lore (Battle-Scarred), 24698.81
M4A1-S | Blood Tiger (Field-Tested), 4.53
StatTrak™ AK-47 | Red Laminate (Field-Tested), 112.01
StatTrak™ AWP | PAW (Battle-Scarred), 4.57
StatTrak™ AWP | Phobos (Minimal Wear), 4.51
AK-47 | Head Shot (Minimal Wear), 16.12
AK-47 | Olive Polycam (Battle-Scarred), 0.23
M4A1-S | Golden Coil (Well-Worn), 41.85
M4A1-S | Emphorosaur-S (Field-Tested), 0.44
AK-47 | Wild Lotus (Well-Worn), 5543.24
Souvenir AWP | Desert Hydra (Well-Worn), 1276.11
StatTrak™ AWP | PAW (Field-Tested), 4.35
AK-47 | Case Hardened (Factory New), 334.81
AWP | Pit Viper (Well-Worn), 0.47
Souvenir AWP | Safari Mesh (Field-Tested), 100.24
M4A1-S | Nightmare (Well-Worn), 7.94
StatTrak™ M4A1-S | Mecha Industries (Battle-Scarred), 65.86
StatTrak™ M4A1-S | Briefing (Field-Tested), 8.91
AWP | POP AWP (Well-Worn), 5.21
M4A1-S | Wash me plz (Factory New), 0.42
AK-47 | Blue Laminate (Factory New), 13.93
StatTrak™ AWP | Exoskeleton (Factory New), 30.13
StatTrak™ AWP | Chrome Cannon (Battle-Scarred), 47.19
M4A1-S | Mud-Spec (Battle-Scarred), 0.41
Souvenir M4A1-S | Mud-Spec (Field-Tested), 1.21
StatTrak™ AK-47 | Fuel Injector (Factory New), 712.84
AK-47 | Wasteland Rebel (Well-Worn), 45.92
StatTrak™ AWP | Exoskeleton (Field-Tested), 6.43
M4A1-S | Fizzy POP (Minimal Wear), 1.36
AK-47 | Wild Lotus (Minimal Wear), 10359.78
AWP | Elite Build (Field-Tested), 16.44
AK-47 | Crossfade (Factory New), 4.05
M4A1-S | Briefing (Field-Tested), 2.83
AK-47 | Asiimov (Well-Worn), 32.85
AK-47 | Uncharted (Minimal Wear), 0.55
StatTrak™ AK-47 | Bloodsport (Field-Tested), 216.53
StatTrak™ AWP | Neo-Noir (Battle-Scarred), 52.13
M4A1-S | Wash me plz (Field-Tested), 0.14
M4A1-S | Wash me plz (Minimal Wear), 0.23
StatTrak™ AK-47 | Nightwish (Field-Tested), 19.89
AWP | Phobos (Well-Worn), 2.97
AK-47 | Bloodsport (Field-Tested), 137.9
AK-47 | Jungle Spray (Field-Tested), 4.1
AWP | Chrome Cannon (Well-Worn), 24.67
StatTrak™ AK-47 | The Outsiders (Battle-Scarred), 25.24
M4A1-S | Printstream (Factory New), 419.88
M4A1-S | Cyrex (Battle-Scarred), 19.69
M4A1-S | Bright Water (Field-Tested), 27.24
AWP | Neo-Noir (Well-Worn), 21.86
AWP | Worm God (Minimal Wear), 1.89
M4A1-S | Leaded Glass (Battle-Scarred), 4.67
AK-47 | Steel Delta (Field-Tested), 1.3
AWP | Gungnir (Minimal Wear), 10661.24
StatTrak™ AK-47 | Jaguar (Battle-Scarred), 101.54
StatTrak™ AWP | Mortis (Field-Tested), 5.3
StatTrak™ M4A1-S | Cyrex (Factory New), 121.57
AWP | Atheris (Well-Worn), 2.74
M4A1-S | VariCamo (Minimal Wear), 0.9
AK-47 | Wild Lotus (Field-Tested), 7524.9
M4A1-S | Fade (Minimal Wear), 456.93
AWP | Safari Mesh (Factory New), 1.03
AK-47 | Rat Rod (Battle-Scarred), 3.13
StatTrak™ M4A1-S | Night Terror (Field-Tested), 2.02
StatTrak™ AK-47 | Case Hardened (Factory New), 674.9
AK-47 | Aquamarine Revenge (Minimal Wear), 65.16
StatTrak™ AWP | Capillary (Well-Worn), 3.28
AWP | Snake Camo (Field-Tested), 92.91
M4A1-S | Basilisk (Minimal Wear), 6.3
StatTrak™ AK-47 | Ice Coaled (Field-Tested), 10.81
StatTrak™ AK-47 | Bloodsport (Well-Worn), 208.57
M4A1-S | Emphorosaur-S (Minimal Wear), 0.99
StatTrak™ AK-47 | Inheritance (Well-Worn), 205.75
StatTrak™ AK-47 | Uncharted (Field-Tested), 1.94
StatTrak™ M4A1-S | Golden Coil (Well-Worn), 83.01
AWP | Pit Viper (Battle-Scarred), 0.4
StatTrak™ AK-47 | Red Laminate (Well-Worn), 100.1
StatTrak™ AK-47 | Bloodsport (Factory New), 312.67
StatTrak™ AWP | Corticera (Field-Tested), 31.56
AK-47 | Frontside Misty (Well-Worn), 13.02
AK-47 | Inheritance (Well-Worn), 101.2
AK-47 | Jungle Spray (Minimal Wear), 10.17
AK-47 | Neon Rider (Battle-Scarred), 35.4
AK-47 | Frontside Misty (Field-Tested), 12.9
StatTrak™ M4A1-S | Printstream (Minimal Wear), 478.33
StatTrak™ AK-47 | Cartel (Minimal Wear), 47.75
AK-47 | Point Disarray (Field-Tested), 9.67
StatTrak™ AWP | Exoskeleton (Battle-Scarred), 6.01
StatTrak™ AK-47 | Blue Laminate (Minimal Wear), 31.42
AK-47 | B the Monster (Factory New), 747.95
AK-47 | Jaguar (Minimal Wear), 126.17
M4A1-S | Moss Quartz (Field-Tested), 31.56
StatTrak™ M4A1-S | Emphorosaur-S (Battle-Scarred), 1.78
StatTrak™ AWP | Atheris (Field-Tested), 7.96
AK-47 | The Empress (Well-Worn), 26.38
AK-47 | Slate (Well-Worn), 2.87
Souvenir M4A1-S | Imminent Danger (Minimal Wear), 1454.42
StatTrak™ M4A1-S | Bright Water (Field-Tested), 69.91
Souvenir AWP | Black Nile (Battle-Scarred), 7.41
StatTrak™ AK-47 | Phantom Disruptor (Minimal Wear), 15.5
AK-47 | Neon Rider (Minimal Wear), 82.54
M4A1-S | Imminent Danger (Factory New), 1658.59
Souvenir AWP | Pink DDPAT (Minimal Wear), 47.89
Souvenir M4A1-S | Nitro (Field-Tested), 274.43
Souvenir AK-47 | Panthera onca (Battle-Scarred), 125.55
AK-47 | Jaguar (Well-Worn), 56.39
StatTrak™ AK-47 | Wasteland Rebel (Well-Worn), 115.38
AWP | CMYK (Field-Tested), 250.47
Souvenir AK-47 | Safari Mesh (Minimal Wear), 16.48
StatTrak™ AWP | Elite Build (Field-Tested), 28.8
StatTrak™ AWP | Hyper Beast (Well-Worn), 56.85
StatTrak™ M4A1-S | Mecha Industries (Minimal Wear), 97.55
AWP | Chromatic Aberration (Field-Tested), 6.72
M4A1-S | Fizzy POP (Battle-Scarred), 0.96
StatTrak™ AK-47 | Fire Serpent (Factory New), 4431.93
StatTrak™ M4A1-S | Hyper Beast (Battle-Scarred), 48.03
AK-47 | Steel Delta (Well-Worn), 1.62
StatTrak™ M4A1-S | Leaded Glass (Battle-Scarred), 10.26
Souvenir AWP | Pit Viper (Minimal Wear), 516.6
AWP | CMYK (Battle-Scarred), 160.19
AK-47 | Green Laminate (Factory New), 24.42
AWP | Sun in Leo (Battle-Scarred), 21.3
M4A1-S | Moss Quartz (Minimal Wear), 41.1
Souvenir M4A1-S | Master Piece (Battle-Scarred), 97.06
M4A1-S | Player Two (Minimal Wear), 46.45
StatTrak™ AK-47 | Fuel Injector (Battle-Scarred), 198.96
AK-47 | X-Ray (Well-Worn), 388.11
StatTrak™ AWP | Capillary (Battle-Scarred), 1.37
AK-47 | Nightwish (Battle-Scarred), 5.76
StatTrak™ M4A1-S | Golden Coil (Field-Tested), 109.64
AK-47 | Rat Rod (Field-Tested), 3.42
M4A1-S | Wash me plz (Battle-Scarred), 0.12
AK-47 | Crossfade (Well-Worn), 2.21
AWP | Snake Camo (Well-Worn), 0
AWP | Chromatic Aberration (Well-Worn), 9.31
AK-47 | Neon Rider (Well-Worn), 39.72
StatTrak™ AWP | Chromatic Aberration (Minimal Wear), 22.52
M4A1-S | Golden Coil (Battle-Scarred), 38.69
M4A1-S | Black Lotus (Field-Tested), 9.15
M4A1-S | Leaded Glass (Well-Worn), 5.76
StatTrak™ AK-47 | Slate (Well-Worn), 10.95
M4A1-S | Hyper Beast (Factory New), 132.41
Souvenir M4A1-S | Master Piece (Factory New), 822.95
AWP | Corticera (Field-Tested), 14.41
M4A1-S | Briefing (Factory New), 9.41
AWP | Gungnir (Field-Tested), 8164.33
StatTrak™ AWP | Fever Dream (Field-Tested), 18.86
AK-47 | Wasteland Rebel (Field-Tested), 27.43
AK-47 | Slate (Minimal Wear), 5.45
AWP | Desert Hydra (Minimal Wear), 1879.85
AK-47 | Head Shot (Factory New), 51.23
AK-47 | Ice Coaled (Well-Worn), 5.15
Souvenir AK-47 | Black Laminate (Well-Worn), 30.19
StatTrak™ M4A1-S | Player Two (Field-Tested), 43.14
AWP | Fever Dream (Factory New), 14.13
AK-47 | Case Hardened (Battle-Scarred), 176.18
M4A1-S | Emphorosaur-S (Well-Worn), 0.74
AK-47 | Inheritance (Battle-Scarred), 80.48
AK-47 | First Class (Minimal Wear), 118.57
AWP | Duality (Factory New), 10.87
StatTrak™ AWP | Neo-Noir (Field-Tested), 47.96
AWP | Atheris (Factory New), 13.43
M4A1-S | Mecha Industries (Field-Tested), 25.8
StatTrak™ AWP | Capillary (Minimal Wear), 2.13
Souvenir AWP | Desert Hydra (Minimal Wear), 1831.83
M4A1-S | Atomic Alloy (Battle-Scarred), 43.55
AK-47 | Inheritance (Minimal Wear), 137.49
Souvenir M4A1-S | Nitro (Factory New), 0
AK-47 | Bloodsport (Factory New), 168.78
AK-47 | Vulcan (Field-Tested), 232.44
AK-47 | Predator (Well-Worn), 17.7
AWP | Fever Dream (Field-Tested), 11.25
AK-47 | Safari Mesh (Minimal Wear), 0.15
AK-47 | Panthera onca (Battle-Scarred), 173.71
AWP | Fade (Factory New), 850.74
AK-47 | Panthera onca (Factory New), 267.43
StatTrak™ AK-47 | Frontside Misty (Field-Tested), 30.92
M4A1-S | Fizzy POP (Field-Tested), 1.0
StatTrak™ M4A1-S | Atomic Alloy (Minimal Wear), 86.65
StatTrak™ M4A1-S | Flashback (Minimal Wear), 4.19
M4A1-S | Boreal Forest (Factory New), 1.35
StatTrak™ AWP | Atheris (Factory New), 33.26
AK-47 | Legion of Anubis (Minimal Wear), 7.82
AK-47 | Wasteland Rebel (Battle-Scarred), 29.78
AK-47 | Green Laminate (Minimal Wear), 15.3
AWP | Oni Taiji (Minimal Wear), 297.48
StatTrak™ AWP | Hyper Beast (Factory New), 216.8
AWP | Black Nile (Factory New), 4.99
AWP | Graphite (Minimal Wear), 132.14
AWP | The Prince (Factory New), 3049.21
StatTrak™ AK-47 | Orbit Mk01 (Field-Tested), 42.76
AK-47 | Ice Coaled (Factory New), 14.0
AWP | Black Nile (Minimal Wear), 3.11
AK-47 | Safety Net (Factory New), 5.2
StatTrak™ AK-47 | Red Laminate (Factory New), 1218.47
AWP | Asiimov (Field-Tested), 135.84
M4A1-S | Boreal Forest (Minimal Wear), 0.11
AWP | Elite Build (Well-Worn), 14.54
StatTrak™ AK-47 | Frontside Misty (Factory New), 121.71
Souvenir AK-47 | Green Laminate (Factory New), 20.0
M4A1-S | Blood Tiger (Factory New), 5.07
Souvenir AK-47 | Black Laminate (Battle-Scarred), 27.44
StatTrak™ AWP | PAW (Well-Worn), 4.62
StatTrak™ M4A1-S | Blood Tiger (Factory New), 14.0
AK-47 | Asiimov (Field-Tested), 27.96
StatTrak™ AK-47 | Ice Coaled (Factory New), 39.11
AK-47 | Vulcan (Well-Worn), 159.86
StatTrak™ AWP | Containment Breach (Well-Worn), 116.63
AWP | Crakow! (Factory New), 205.82
Souvenir M4A1-S | VariCamo (Factory New), 40.89
AK-47 | Safari Mesh (Field-Tested), 0.07
AWP | Hyper Beast (Well-Worn), 22.11
StatTrak™ M4A1-S | Decimator (Field-Tested), 24.7
StatTrak™ AWP | PAW (Factory New), 12.31
StatTrak™ AK-47 | Point Disarray (Battle-Scarred), 23.89
M4A1-S | Player Two (Battle-Scarred), 14.47
StatTrak™ AWP | Asiimov (Battle-Scarred), 129.87
StatTrak™ AWP | Redline (Well-Worn), 124.54
StatTrak™ AK-47 | Asiimov (Factory New), 406.91
M4A1-S | Vaporwave (Minimal Wear), 147.92
StatTrak™ AK-47 | Neon Revolution (Field-Tested), 48.44
AWP | Acheron (Minimal Wear), 1.1
AWP | Neo-Noir (Field-Tested), 21.61
StatTrak™ M4A1-S | Hyper Beast (Field-Tested), 52.97
AK-47 | Frontside Misty (Minimal Wear), 23.72
StatTrak™ AK-47 | Asiimov (Field-Tested), 57.63
Souvenir AWP | Safari Mesh (Well-Worn), 274.43
AWP | Sun in Leo (Minimal Wear), 25.38
AWP | Sun in Leo (Field-Tested), 21.6
AK-47 | Wasteland Rebel (Minimal Wear), 46.93
AWP | Lightning Strike (Factory New), 522.11
StatTrak™ AK-47 | Neon Revolution (Well-Worn), 137.22
M4A1-S | Decimator (Factory New), 35.68
AK-47 | Nightwish (Factory New), 52.14
M4A1-S | Guardian (Battle-Scarred), 20.03
AWP | Oni Taiji (Battle-Scarred), 157.04
AK-47 | Aquamarine Revenge (Field-Tested), 32.02
AWP | Pink DDPAT (Well-Worn), 31.56
AWP | Man-o'-war (Field-Tested), 36.77
StatTrak™ AK-47 | Fire Serpent (Minimal Wear), 2743.97
StatTrak™ AWP | Graphite (Minimal Wear), 315.6
StatTrak™ AWP | Fever Dream (Battle-Scarred), 18.66
StatTrak™ AWP | Hyper Beast (Minimal Wear), 109.62
M4A1-S | Dark Water (Field-Tested), 77.25
Souvenir AWP | Dragon Lore (Factory New), 480252.68
StatTrak™ AWP | Electric Hive (Factory New), 95.76
StatTrak™ AK-47 | Ice Coaled (Well-Worn), 13.21
AK-47 | Red Laminate (Battle-Scarred), 51.68
AK-47 | Green Laminate (Well-Worn), 22.2
M4A1-S | Golden Coil (Factory New), 150.94
StatTrak™ AWP | Redline (Minimal Wear), 129.05
AK-47 | Cartel (Factory New), 25.38
AK-47 | First Class (Factory New), 127.61
M4A1-S | Welcome to the Jungle (Minimal Wear), 1426.91
AK-47 | Phantom Disruptor (Well-Worn), 5.08
AWP | Desert Hydra (Field-Tested), 1536.68
StatTrak™ M4A1-S | Night Terror (Factory New), 5.87
StatTrak™ AWP | Duality (Battle-Scarred), 5.45
StatTrak™ M4A1-S | Cyrex (Battle-Scarred), 82.33
StatTrak™ AK-47 | Phantom Disruptor (Well-Worn), 13.72
StatTrak™ M4A1-S | Leaded Glass (Well-Worn), 16.47
AWP | Mortis (Factory New), 6.71
AK-47 | Baroque Purple (Battle-Scarred), 6.64
AWP | Worm God (Factory New), 2.79
AWP | PAW (Well-Worn), 1.68
Souvenir M4A1-S | Nitro (Battle-Scarred), 0
StatTrak™ M4A1-S | Briefing (Well-Worn), 71.21
M4A1-S | Mud-Spec (Well-Worn), 0.34
AWP | Safari Mesh (Field-Tested), 0.06
AWP | Fever Dream (Well-Worn), 10.89
StatTrak™ AK-47 | The Empress (Field-Tested), 77.99
M4A1-S | Decimator (Battle-Scarred), 10.52
StatTrak™ M4A1-S | Cyrex (Field-Tested), 53.99
AWP | Dragon Lore (Well-Worn), 12349.41
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested), 1.73
M4A1-S | Guardian (Well-Worn), 28.54
AK-47 | Head Shot (Field-Tested), 7.78
AWP | Neo-Noir (Battle-Scarred), 23.74
